id,name,type1,type2,rarity,evolvesTo_id,evolve_atLevel,batalha,inteligencia,carisma,agilidade,resistencia,percepcao,total,gender_rate,chance_female_%,chance_male_%,minWildLevel
1,bulbasaur,grass,poison,uncommon,2,3,21,27,26,20,17,25,136,1,13,87,1
2,ivysaur,grass,poison,uncommon,3,6,28,33,24,26,23,24,158,1,13,87,3
3,venusaur,grass,poison,uncommon,,,37,42,23,33,31,23,189,1,13,87,6
4,charmander,fire,,uncommon,5,3,20,23,26,27,13,25,134,1,13,87,1
5,charmeleon,fire,,uncommon,6,6,27,30,24,33,20,24,158,1,13,87,3
6,charizard,fire,flying,uncommon,,,37,41,22,40,29,22,191,1,13,87,6
7,squirtle,water,,uncommon,8,3,20,23,27,20,19,26,135,1,13,87,1
8,wartortle,water,,uncommon,9,6,27,30,26,25,25,25,158,1,13,87,3
9,blastoise,water,,uncommon,,,36,39,25,32,34,24,190,1,13,87,6
10,caterpie,bug,,common,11,2,10,10,28,20,10,27,105,4,50,50,1
11,metapod,bug,,common,12,3,10,10,29,15,14,29,107,4,50,50,2
12,butterfree,bug,flying,common,,,25,35,23,29,21,23,156,4,50,50,3
13,weedle,bug,poison,common,14,2,10,10,27,22,10,26,105,4,50,50,1
14,kakuna,bug,poison,common,15,3,10,10,29,17,13,28,107,4,50,50,2
15,beedrill,bug,poison,common,,,26,25,27,31,21,26,156,4,50,50,3
16,pidgey,normal,flying,common,17,2,14,14,28,24,12,27,119,4,50,50,1
17,pidgeotto,normal,flying,common,18,6,21,21,27,29,19,27,144,4,50,50,2
18,pidgeot,normal,flying,common,,,30,29,25,40,28,25,177,4,50,50,6
19,rattata,normal,,common,20,4,15,12,26,30,10,26,119,4,50,50,1
20,raticate,normal,,common,,,26,24,25,39,21,25,160,4,50,50,4
21,spearow,normal,flying,uncommon,22,4,16,13,27,29,10,27,122,4,50,50,1
22,fearow,normal,flying,uncommon,,,29,25,26,40,22,26,168,4,50,50,4
23,ekans,poison,,common,24,4,19,19,27,24,13,26,128,4,50,50,1
24,arbok,poison,,common,,,32,29,26,33,24,25,169,4,50,50,4
25,pikachu,electric,,rare,26,5,19,21,24,36,12,24,136,4,50,50,1
26,raichu,electric,,rare,,,33,35,23,43,22,22,178,4,50,50,5
27,sandshrew,ground,,rare,28,4,21,10,31,19,19,31,131,4,50,50,1
28,sandslash,ground,,rare,,,32,20,31,27,29,31,170,4,50,50,4
29,nidoran-f,poison,,uncommon,30,3,17,16,29,19,16,28,125,8,100,0,1
30,nidorina,poison,,uncommon,31,5,23,23,28,24,23,27,148,8,100,0,3
31,nidoqueen,poison,ground,uncommon,,,35,33,27,31,32,26,184,8,100,0,5
32,nidoran-m,poison,,uncommon,33,3,17,16,29,22,13,28,125,0,0,100,1
33,nidorino,poison,,uncommon,34,5,24,23,27,27,20,27,148,0,0,100,3
34,nidoking,poison,ground,uncommon,,,36,33,27,34,28,26,184,0,0,100,5
35,clefairy,normal,,rare,36,5,20,26,34,17,21,19,137,6,75,25,1
36,clefable,normal,,rare,,,32,39,32,26,32,17,178,6,75,25,5
37,vulpix,fire,,epic,38,4,17,23,25,27,14,25,131,6,75,25,1
38,ninetales,fire,,epic,,,32,37,23,40,29,23,184,6,75,25,4
39,jigglypuff,normal,,uncommon,40,5,14,15,31,12,22,30,124,6,75,25,1
40,wigglytuff,normal,,uncommon,,,27,29,29,20,33,28,166,6,75,25,5
41,zubat,poison,flying,common,42,4,14,14,27,24,11,27,117,4,50,50,1
42,golbat,poison,flying,common,,,29,29,26,36,26,25,171,4,50,50,4
43,oddish,grass,poison,common,44,4,23,29,26,15,18,25,136,4,50,50,1
44,gloom,grass,poison,common,45,5,29,33,26,19,23,26,156,4,50,50,4
45,vileplume,grass,poison,common,,,37,42,25,22,30,24,180,4,50,50,5
46,paras,bug,grass,uncommon,47,4,22,20,29,13,15,29,128,4,50,50,1
47,parasect,bug,grass,uncommon,,,32,29,29,15,25,28,158,4,50,50,4
48,venonat,bug,poison,rare,49,5,19,19,28,20,19,28,133,4,50,50,1
49,venomoth,bug,poison,rare,,,29,35,23,36,24,23,170,4,50,50,5
50,diglett,ground,,rare,51,3,16,16,21,38,10,21,122,4,50,50,1
51,dugtrio,ground,,rare,,,29,24,24,47,16,23,163,4,50,50,3
52,meowth,normal,,rare,53,4,15,16,26,36,11,25,129,4,50,50,1
53,persian,normal,,rare,,,26,27,24,45,22,23,167,4,50,50,4
54,psyduck,water,,epic,55,6,21,24,26,24,16,25,136,4,50,50,1
55,golduck,water,,epic,,,34,37,24,34,29,24,182,4,50,50,6
56,mankey,fighting,,common,57,5,21,16,28,29,12,27,133,4,50,50,1
57,primeape,fighting,,common,,,32,27,26,38,23,25,171,4,50,50,5
58,growlithe,fire,,rare,59,6,25,25,26,26,17,25,144,2,25,75,1
59,arcanine,fire,,rare,,,40,38,25,38,31,24,196,2,25,75,6
60,poliwag,water,,uncommon,61,4,16,16,26,36,12,25,131,4,50,50,1
61,poliwhirl,water,,uncommon,62,5,23,21,26,36,21,26,153,4,50,50,4
62,poliwrath,water,fighting,uncommon,,,35,33,27,29,34,27,185,4,50,50,5
63,abra,psychic,,rare,64,3,18,34,18,36,10,18,134,2,25,75,1
64,kadabra,psychic,,rare,65,7,25,41,18,41,14,18,157,2,25,75,3
65,alakazam,psychic,,rare,,,42,49,20,47,21,16,195,2,25,75,7
66,machop,fighting,,uncommon,67,4,21,14,31,17,19,31,133,2,25,75,1
67,machoke,fighting,,uncommon,68,6,30,22,30,20,26,30,158,2,25,75,4
68,machamp,fighting,,uncommon,,,39,31,30,24,31,29,184,2,25,75,6
69,bellsprout,grass,poison,common,70,4,24,21,28,19,12,27,131,4,50,50,1
70,weepinbell,grass,poison,common,71,5,30,28,27,24,19,26,154,4,50,50,4
71,victreebel,grass,poison,common,,,38,36,26,29,26,25,180,4,50,50,5
72,tentacool,water,poison,uncommon,73,5,19,30,22,29,18,22,140,4,50,50,1
73,tentacruel,water,poison,uncommon,,,31,41,22,40,31,21,186,4,50,50,5
74,geodude,rock,ground,common,75,4,24,12,32,12,19,32,131,4,50,50,1
75,graveler,rock,ground,common,76,6,31,18,32,17,25,31,154,4,50,50,4
76,golem,rock,ground,common,,,39,25,32,20,34,31,181,4,50,50,6
77,ponyta,fire,,rare,78,7,28,27,25,36,19,24,159,4,50,50,1
78,rapidash,fire,,rare,,,35,33,24,41,25,24,182,4,50,50,7
79,slowpoke,water,psychic,uncommon,80,6,21,16,32,10,25,31,135,4,50,50,1
80,slowbro,water,psychic,uncommon,,,36,38,28,15,36,27,180,4,50,50,6
81,magnemite,electric,,uncommon,82,5,24,32,24,20,15,23,138,-1,,,1
82,magneton,electric,,uncommon,,,35,41,22,29,24,22,173,-1,,,5
83,farfetchd,normal,flying,epic,,,28,25,27,26,19,36,161,4,50,50,3
84,doduo,normal,flying,rare,85,5,22,14,28,31,11,28,134,4,50,50,1
85,dodrio,normal,flying,rare,,,33,25,26,43,22,26,175,4,50,50,5
86,seel,water,,rare,87,6,19,23,27,20,22,27,138,4,50,50,1
87,dewgong,water,ice,rare,,,30,34,26,29,32,25,176,4,50,50,6
88,grimer,poison,,uncommon,89,6,23,18,31,13,22,31,138,4,50,50,1
89,muk,poison,,uncommon,,,35,33,29,22,35,28,182,4,50,50,6
90,shellder,water,,uncommon,91,4,24,15,30,19,16,29,133,4,50,50,1
91,cloyster,water,ice,uncommon,,,42,28,29,29,32,29,189,4,50,50,4
92,gastly,ghost,poison,epic,93,4,20,29,21,33,10,21,134,4,50,50,1
93,haunter,ghost,poison,epic,94,6,27,37,21,38,15,20,158,4,50,50,4
94,gengar,ghost,poison,epic,,,34,44,30,43,22,19,192,4,50,50,6
95,onix,rock,ground,rare,,,24,15,29,29,27,29,153,4,50,50,3
96,drowzee,psychic,,uncommon,97,5,19,26,27,19,22,26,139,4,50,50,1
97,hypno,psychic,,uncommon,,,31,38,25,28,32,24,178,4,50,50,5
98,krabby,water,,common,99,5,27,10,32,22,15,32,138,4,50,50,1
99,kingler,water,,common,,,38,21,31,31,25,30,176,4,50,50,5
100,voltorb,electric,,common,101,5,16,23,23,40,15,22,139,-1,,,1
101,electrode,electric,,common,,,26,33,24,50,24,23,180,-1,,,5
102,exeggcute,grass,psychic,epic,103,4,21,22,28,19,21,27,138,4,50,50,1
103,exeggutor,grass,psychic,epic,,,41,43,25,24,32,25,190,4,50,50,4
104,cubone,ground,,epic,105,3,21,18,29,17,22,29,136,4,50,50,1
105,marowak,ground,,epic,,,31,26,29,20,29,28,163,4,50,50,3
106,hitmonlee,fighting,,epic,,,33,28,26,35,23,26,171,0,0,100,3
107,hitmonchan,fighting,,epic,,,32,28,27,31,26,27,171,0,0,100,3
108,lickitung,normal,,uncommon,,,24,28,28,15,30,28,153,4,50,50,2
